date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,month,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,games_played_ratio,final_rank,postseason,prev_team_avg,prev_team_runs,prev_team_hits,prev_team_hr,prev_team_rbi,prev_team_era,prev_team_ip,prev_team_hr_allowed,prev_team_bb_allowed,prev_team_so_pitcher,prev_team_runs_allowed,prev_team_er,prev_team_whip,prev_team_errors,prev_team_dp,prev_team_fpct,prev_team_sb,prev_team_cs,prev_team_sb_rate,prev_top5_hitter_hr_sum,prev_top5_hitter_rbi_sum,prev_top5_hitter_hits_sum,prev_top5_hitter_tb_sum,prev_top5_hitter_gpa_avg,prev_top5_hitter_isop_avg,prev_top5_hitter_xr_sum,prev_top5_pitcher_era_avg,prev_top5_pitcher_whip_avg,prev_top5_pitcher_ip_sum,prev_top5_pitcher_so_sum,prev_top5_pitcher_bb_allowed_sum,prev_top5_pitcher_hr_allowed_sum
1970-01-01 00:00:00.020220406,7.0,NC,4.0,1.0,3.0,0.0,0.25,3.0,1승0무3패,1승,1-0-3,0-0-0,2022.0,1,1.0,0.0,3.0,0.25,1.0,0.0,3.0,0.25,0.0,0.0,0.0,0.48333333333333334,0.027777777777777776,6.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220406,10.0,한화,4.0,0.0,4.0,0.0,0.0,4.0,0승0무4패,4패,0-0-0,0-0-4,2022.0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.0,0.0,0.027777777777777776,10.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,1.0,LG,5.0,5.0,0.0,0.0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0,2022.0,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,1.0,0.034722222222222224,3.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,1.0,SSG,5.0,5.0,0.0,0.0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0,2022.0,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,1.0,0.034722222222222224,1.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,3.0,두산,5.0,3.0,2.0,0.0,0.6,2.0,3승0무2패,1승,3-0-2,0-0-0,2022.0,1,3.0,0.0,2.0,0.6,3.0,0.0,2.0,0.6,0.0,0.0,0.0,0.48333333333333334,0.034722222222222224,9.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,3.0,삼성,5.0,3.0,2.0,0.0,0.6,2.0,3승0무2패,1패,0-0-0,3-0-2,2022.0,1,3.0,0.0,2.0,0.6,0.0,0.0,0.0,0.5,3.0,0.0,2.0,0.6,0.034722222222222224,7.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,3.0,롯데,5.0,3.0,2.0,0.0,0.6,2.0,3승0무2패,1승,0-0-0,3-0-2,2022.0,1,3.0,0.0,2.0,0.6,0.0,0.0,0.0,0.5,3.0,0.0,2.0,0.6,0.034722222222222224,8.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,3.0,KIA,5.0,3.0,2.0,0.0,0.6,2.0,3승0무2패,3승,3-0-2,0-0-0,2022.0,1,3.0,0.0,2.0,0.6,3.0,0.0,2.0,0.6,0.0,0.0,0.0,0.48333333333333334,0.034722222222222224,5.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,7.0,KT,5.0,1.0,4.0,0.0,0.2,4.0,1승0무4패,4패,1-0-4,0-0-0,2022.0,1,1.0,0.0,4.0,0.2,1.0,0.0,4.0,0.2,0.0,0.0,0.0,0.48333333333333334,0.034722222222222224,4.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,7.0,키움,5.0,1.0,4.0,0.0,0.2,4.0,1승0무4패,3패,1-0-4,0-0-0,2022.0,1,1.0,0.0,4.0,0.2,1.0,0.0,4.0,0.2,0.0,0.0,0.0,0.48333333333333334,0.034722222222222224,2.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,7.0,NC,5.0,1.0,4.0,0.0,0.2,4.0,1승0무4패,1패,1-0-4,0-0-0,2022.0,1,1.0,0.0,4.0,0.2,1.0,0.0,4.0,0.2,0.0,0.0,0.0,0.48333333333333334,0.034722222222222224,6.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220407,10.0,한화,5.0,0.0,5.0,0.0,0.0,5.0,0승0무5패,5패,0-0-0,0-0-5,2022.0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.0,0.0,0.034722222222222224,10.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220408,1.0,SSG,6.0,6.0,0.0,0.0,1.0,0.0,6승0무0패,6승,1-0-0,5-0-0,2022.0,1,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.041666666666666664,1.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220408,2.0,LG,6.0,5.0,1.0,0.0,0.833,1.0,5승0무1패,1패,0-0-1,5-0-0,2022.0,1,5.0,0.0,1.0,0.8333333333333334,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.041666666666666664,3.0,1,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220408,3.0,두산,6.0,4.0,2.0,0.0,0.667,2.0,4승0무2패,2승,3-0-2,1-0-0,2022.0,1,4.0,0.0,2.0,0.6666666666666666,3.0,0.0,2.0,0.6,1.0,0.0,0.0,1.0,0.041666666666666664,9.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
1970-01-01 00:00:00.020220408,4.0,삼성,6.0,3.0,3.0,0.0,0.5,3.0,3승0무3패,2패,0-0-1,3-0-2,2022.0,1,3.0,0.0,3.0,0.5,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.6,0.041666666666666664,7.0,0,,672.0,,,,4.38,,,,,708.0,,1.45,114.0,,,,,73.5,67.0,345.0,,,,,,3.6,1.2783333333333333,154.0,276.0,,
